26	1	5	1920	0.0899	1378	11.2	0.0008	
26	1	6	2520	0.0663	1326	5.84	0.0158	
26	1	7	3120	0.0551	1225	3.72	0.0541	
27	1	1	0	0	0	0	0	
27	1	2	125	0.539	1711	699.93	0	
27	1	3	725	0.7763	2278	3451.9	0	
27	1	4	1325	0.0365	1711	2.28	0.1314	
27	1	5	1925	0.0255	1711	1.11	0.2926	
27	1	6	2525	0.0352	1830	2.27	0.1319	
27	1	7	3125	-0.0014	1711	0	0.9531	
28	1	1	0	0	0	0	0	
28	1	2	125	0.5796	561	282.76	0	
28	1	3	725	0.7655	861	1215.86	0	
28	1	4	1325	0.1655	780	21.9	0	
28	1	5	1925	0.2183	666	33.23	0	
28	1	6	2525	0.3131	561	60.74	0	
28	1	7	3125	0.1947	528	20.72	0	
